Stack,application,product,color,part no.,global product id,Is Visualizable?
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Mosaic 1.5 in. Hex Mosaic Matte - Arctic White 0790,6DTCWM1.5HM/0790,03a636cd-3fe2-43f8-8493-7ff2b6b37b06,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Uptown 2x2 Mosaic - Sugar Hill,622UP/SH,03d8dca7-0b6d-45b4-8fdc-ce6c25187e80,Yes
Echelon-EPP - estimated items,Flooring,Tile,Colori 10 x 30 Gloss White,6Colo1030/wht,0479c43f-f3a8-47b7-880d-d2406ef8b2af,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Artistic Reflections 2X10 - Onyx,6ARTRL210/AE10,0493d85e-f31f-4fc8-b4bc-a710f26ed891,Yes
Echelon-EPP - estimated items,Flooring,Tile,Cosmopolitan 12x24 - Crystal EM,6C124/CR,04a56a1c-deed-410d-bf1a-623aaa624c67,Yes
WBS - estimated items,Flooring,Tile,Cosmopolitan 12x24 - Crystal,6C124/CR,04a56a1c-deed-410d-bf1a-623aaa624c67,Yes
WBS - estimated items,Flooring,Tile,Clean Collection Matte 3x6 - Taupe,6BNCCM36/TA,04aa568b-7199-416b-a94e-b690384e5dbf,Yes
WBS - estimated items,Flooring,Tile,Color Collection Matte 3x6 - Taupe,6CCM36/TA,04aa568b-7199-416b-a94e-b690384e5dbf,Yes
Echelon-EPP - estimated items,Flooring,Tile,Limestone Tumbled 3x6 - Arctic Gray,6LT36/L757,04c7a056-dcaa-4c55-9e66-6470a7d4bf22,Yes
WBS - estimated items,Flooring,Tile,Limestone Tumbled 3x6 - L757 Arctic Gray,6LT36/L757,04c7a056-dcaa-4c55-9e66-6470a7d4bf22,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Classic 3x6 Matte - Black K711,6DTCWC36M/K711,05220bff-d693-4db7-88bb-0a5b44a35785,Yes
